item_id,order_id,product_id,sku,product_name,category,quantity,unit_price,line_total,cost_per_unit,line_cost
93,45,7,PROD007,Iced Latte,Coffee,1,5.5,5.5,1.6,1.6
94,45,5,PROD005,Espresso,Coffee,1,3.5,3.5,0.9,0.9
95,46,17,PROD017,Avocado Toast,Food,1,12.0,12.0,5.5,5.5
96,46,9,PROD009,Hot Chocolate,Hot Drinks,1,4.5,4.5,1.3,1.3
97,47,16,PROD016,Banana Bread,Food,1,5.5,5.5,2.0,2.0
98,47,10,PROD010,Chai Latte,Hot Drinks,1,4.5,4.5,1.2,1.2
99,47,24,PROD024,BLT Sandwich,Food,1,10.5,10.5,4.8,4.8
100,48,25,PROD025,Orange Juice,Beverages,1,5.0,5.0,1.5,1.5
101,49,24,PROD024,BLT Sandwich,Food,1,10.5,10.5,4.8,4.8
102,49,22,PROD022,Greek Salad,Food,1,12.5,12.5,5.8,5.8
103,49,13,PROD013,Pain au Chocolat,Pastries,1,5.0,5.0,1.8,1.8
104,50,1,PROD001,Flat White,Coffee,1,4.5,4.5,1.2,1.2
105,50,9,PROD009,Hot Chocolate,Hot Drinks,1,4.5,4.5,1.3,1.3
106,50,18,PROD018,Bacon & Egg Roll,Food,1,10.0,10.0,4.5,4.5
107,51,13,PROD013,Pain au Chocolat,Pastries,1,5.0,5.0,1.8,1.8
108,52,4,PROD004,Long Black,Coffee,1,4.0,4.0,1.1,1.1
109,52,22,PROD022,Greek Salad,Food,1,12.5,12.5,5.8,5.8
110,52,8,PROD008,Iced Coffee,Coffee,1,5.0,5.0,1.4,1.4
111,53,20,PROD020,Vegetarian Wrap,Food,1,9.5,9.5,4.2,4.2
112,53,8,PROD008,Iced Coffee,Coffee,1,5.0,5.0,1.4,1.4
113,54,23,PROD023,Chicken Sandwich,Food,1,11.5,11.5,5.2,5.2
114,54,10,PROD010,Chai Latte,Hot Drinks,1,4.5,4.5,1.2,1.2
115,55,2,PROD002,Cappuccino,Coffee,1,4.5,4.5,1.25,1.25
116,56,4,PROD004,Long Black,Coffee,1,4.0,4.0,1.1,1.1
117,56,8,PROD008,Iced Coffee,Coffee,1,5.0,5.0,1.4,1.4
118,57,22,PROD022,Greek Salad,Food,1,12.5,12.5,5.8,5.8
119,57,24,PROD024,BLT Sandwich,Food,1,10.5,10.5,4.8,4.8
120,58,24,PROD024,BLT Sandwich,Food,1,10.5,10.5,4.8,4.8
121,58,5,PROD005,Espresso,Coffee,1,3.5,3.5,0.9,0.9
122,59,20,PROD020,Vegetarian Wrap,Food,2,9.5,19.0,4.2,8.4
123,59,14,PROD014,Muffin Blueberry,Pastries,1,5.0,5.0,1.7,1.7
124,59,9,PROD009,Hot Chocolate,Hot Drinks,1,4.5,4.5,1.3,1.3
125,60,12,PROD012,Almond Croissant,Pastries,1,5.5,5.5,2.0,2.0
126,60,4,PROD004,Long Black,Coffee,1,4.0,4.0,1.1,1.1
127,60,22,PROD022,Greek Salad,Food,1,12.5,12.5,5.8,5.8
128,60,18,PROD018,Bacon & Egg Roll,Food,1,10.0,10.0,4.5,4.5
129,61,15,PROD015,Muffin Choc Chip,Pastries,1,5.0,5.0,1.6,1.6
130,61,3,PROD003,Latte,Coffee,1,4.5,4.5,1.3,1.3
131,61,22,PROD022,Greek Salad,Food,2,12.5,25.0,5.8,11.6
132,61,7,PROD007,Iced Latte,Coffee,1,5.5,5.5,1.6,1.6
133,62,5,PROD005,Espresso,Coffee,1,3.5,3.5,0.9,0.9
134,63,25,PROD025,Orange Juice,Beverages,1,5.0,5.0,1.5,1.5
135,64,8,PROD008,Iced Coffee,Coffee,1,5.0,5.0,1.4,1.4
136,64,11,PROD011,Croissant,Pastries,1,4.5,4.5,1.5,1.5
137,65,9,PROD009,Hot Chocolate,Hot Drinks,1,4.5,4.5,1.3,1.3
138,65,5,PROD005,Espresso,Coffee,1,3.5,3.5,0.9,0.9
139,66,4,PROD004,Long Black,Coffee,1,4.0,4.0,1.1,1.1
140,66,22,PROD022,Greek Salad,Food,1,12.5,12.5,5.8,5.8
141,66,1,PROD001,Flat White,Coffee,1,4.5,4.5,1.2,1.2
142,67,1,PROD001,Flat White,Coffee,1,4.5,4.5,1.2,1.2
143,67,6,PROD006,Mocha,Coffee,1,5.0,5.0,1.5,1.5
144,68,4,PROD004,Long Black,Coffee,1,4.0,4.0,1.1,1.1
145,68,24,PROD024,BLT Sandwich,Food,1,10.5,10.5,4.8,4.8
146,69,19,PROD019,Ham & Cheese Toastie,Food,1,8.5,8.5,3.8,3.8
147,69,4,PROD004,Long Black,Coffee,1,4.0,4.0,1.1,1.1
148,70,24,PROD024,BLT Sandwich,Food,1,10.5,10.5,4.8,4.8
149,70,22,PROD022,Greek Salad,Food,1,12.5,12.5,5.8,5.8
150,71,2,PROD002,Cappuccino,Coffee,1,4.5,4.5,1.25,1.25
151,71,16,PROD016,Banana Bread,Food,1,5.5,5.5,2.0,2.0
152,71,13,PROD013,Pain au Chocolat,Pastries,1,5.0,5.0,1.8,1.8
153,71,14,PROD014,Muffin Blueberry,Pastries,1,5.0,5.0,1.7,1.7
154,72,20,PROD020,Vegetarian Wrap,Food,1,9.5,9.5,4.2,4.2
155,73,20,PROD020,Vegetarian Wrap,Food,1,9.5,9.5,4.2,4.2
156,74,11,PROD011,Croissant,Pastries,1,4.5,4.5,1.5,1.5
157,74,13,PROD013,Pain au Chocolat,Pastries,1,5.0,5.0,1.8,1.8
158,75,20,PROD020,Vegetarian Wrap,Food,1,9.5,9.5,4.2,4.2
159,75,14,PROD014,Muffin Blueberry,Pastries,1,5.0,5.0,1.7,1.7
160,76,21,PROD021,Caesar Salad,Food,1,14.0,14.0,6.5,6.5
161,76,25,PROD025,Orange Juice,Beverages,1,5.0,5.0,1.5,1.5
162,76,18,PROD018,Bacon & Egg Roll,Food,1,10.0,10.0,4.5,4.5
163,77,11,PROD011,Croissant,Pastries,1,4.5,4.5,1.5,1.5
164,78,24,PROD024,BLT Sandwich,Food,1,10.5,10.5,4.8,4.8
165,78,4,PROD004,Long Black,Coffee,1,4.0,4.0,1.1,1.1
166,79,5,PROD005,Espresso,Coffee,1,3.5,3.5,0.9,0.9
167,80,3,PROD003,Latte,Coffee,1,4.5,4.5,1.3,1.3
168,80,14,PROD014,Muffin Blueberry,Pastries,1,5.0,5.0,1.7,1.7
169,81,18,PROD018,Bacon & Egg Roll,Food,1,10.0,10.0,4.5,4.5
170,81,2,PROD002,Cappuccino,Coffee,1,4.5,4.5,1.25,1.25
171,81,19,PROD019,Ham & Cheese Toastie,Food,1,8.5,8.5,3.8,3.8
172,82,22,PROD022,Greek Salad,Food,1,12.5,12.5,5.8,5.8
173,82,25,PROD025,Orange Juice,Beverages,1,5.0,5.0,1.5,1.5
174,83,10,PROD010,Chai Latte,Hot Drinks,1,4.5,4.5,1.2,1.2
175,84,19,PROD019,Ham & Cheese Toastie,Food,1,8.5,8.5,3.8,3.8
176,84,17,PROD017,Avocado Toast,Food,1,12.0,12.0,5.5,5.5
177,85,4,PROD004,Long Black,Coffee,1,4.0,4.0,1.1,1.1
178,86,4,PROD004,Long Black,Coffee,1,4.0,4.0,1.1,1.1
179,86,25,PROD025,Orange Juice,Beverages,1,5.0,5.0,1.5,1.5
180,87,18,PROD018,Bacon & Egg Roll,Food,1,10.0,10.0,4.5,4.5
181,87,25,PROD025,Orange Juice,Beverages,1,5.0,5.0,1.5,1.5
182,88,1,PROD001,Flat White,Coffee,1,4.5,4.5,1.2,1.2
183,88,20,PROD020,Vegetarian Wrap,Food,1,9.5,9.5,4.2,4.2
184,89,6,PROD006,Mocha,Coffee,1,5.0,5.0,1.5,1.5
185,90,11,PROD011,Croissant,Pastries,1,4.5,4.5,1.5,1.5
186,90,12,PROD012,Almond Croissant,Pastries,1,5.5,5.5,2.0,2.0
187,90,1,PROD001,Flat White,Coffee,1,4.5,4.5,1.2,1.2
188,91,24,PROD024,BLT Sandwich,Food,1,10.5,10.5,4.8,4.8
189,92,24,PROD024,BLT Sandwich,Food,1,10.5,10.5,4.8,4.8
190,93,15,PROD015,Muffin Choc Chip,Pastries,1,5.0,5.0,1.6,1.6
191,93,11,PROD011,Croissant,Pastries,1,4.5,4.5,1.5,1.5
192,94,19,PROD019,Ham & Cheese Toastie,Food,1,8.5,8.5,3.8,3.8
193,94,20,PROD020,Vegetarian Wrap,Food,1,9.5,9.5,4.2,4.2
194,95,20,PROD020,Vegetarian Wrap,Food,2,9.5,19.0,4.2,8.4
195,96,15,PROD015,Muffin Choc Chip,Pastries,1,5.0,5.0,1.6,1.6
196,97,15,PROD015,Muffin Choc Chip,Pastries,1,5.0,5.0,1.6,1.6
197,97,14,PROD014,Muffin Blueberry,Pastries,1,5.0,5.0,1.7,1.7
198,98,14,PROD014,Muffin Blueberry,Pastries,1,5.0,5.0,1.7,1.7
199,99,19,PROD019,Ham & Cheese Toastie,Food,1,8.5,8.5,3.8,3.8
200,99,16,PROD016,Banana Bread,Food,1,5.5,5.5,2.0,2.0
201,100,20,PROD020,Vegetarian Wrap,Food,1,9.5,9.5,4.2,4.2
202,101,7,PROD007,Iced Latte,Coffee,1,5.5,5.5,1.6,1.6
203,102,10,PROD010,Chai Latte,Hot Drinks,2,4.5,9.0,1.2,2.4
204,102,11,PROD011,Croissant,Pastries,1,4.5,4.5,1.5,1.5
205,102,4,PROD004,Long Black,Coffee,1,4.0,4.0,1.1,1.1
206,103,23,PROD023,Chicken Sandwich,Food,1,11.5,11.5,5.2,5.2
207,103,8,PROD008,Iced Coffee,Coffee,1,5.0,5.0,1.4,1.4
208,104,3,PROD003,Latte,Coffee,2,4.5,9.0,1.3,2.6
209,104,13,PROD013,Pain au Chocolat,Pastries,2,5.0,10.0,1.8,3.6
210,104,24,PROD024,BLT Sandwich,Food,1,10.5,10.5,4.8,4.8
211,105,19,PROD019,Ham & Cheese Toastie,Food,1,8.5,8.5,3.8,3.8
212,105,14,PROD014,Muffin Blueberry,Pastries,1,5.0,5.0,1.7,1.7
213,105,13,PROD013,Pain au Chocolat,Pastries,1,5.0,5.0,1.8,1.8
214,106,11,PROD011,Croissant,Pastries,1,4.5,4.5,1.5,1.5
215,107,15,PROD015,Muffin Choc Chip,Pastries,1,5.0,5.0,1.6,1.6
216,107,23,PROD023,Chicken Sandwich,Food,1,11.5,11.5,5.2,5.2
217,107,12,PROD012,Almond Croissant,Pastries,1,5.5,5.5,2.0,2.0
218,108,17,PROD017,Avocado Toast,Food,1,12.0,12.0,5.5,5.5
219,108,3,PROD003,Latte,Coffee,1,4.5,4.5,1.3,1.3
220,109,11,PROD011,Croissant,Pastries,1,4.5,4.5,1.5,1.5
221,109,25,PROD025,Orange Juice,Beverages,1,5.0,5.0,1.5,1.5
222,110,17,PROD017,Avocado Toast,Food,1,12.0,12.0,5.5,5.5
223,111,12,PROD012,Almond Croissant,Pastries,1,5.5,5.5,2.0,2.0
224,111,24,PROD024,BLT Sandwich,Food,1,10.5,10.5,4.8,4.8
225,111,21,PROD021,Caesar Salad,Food,1,14.0,14.0,6.5,6.5
226,112,20,PROD020,Vegetarian Wrap,Food,1,9.5,9.5,4.2,4.2
227,113,3,PROD003,Latte,Coffee,1,4.5,4.5,1.3,1.3
228,113,6,PROD006,Mocha,Coffee,1,5.0,5.0,1.5,1.5
229,113,25,PROD025,Orange Juice,Beverages,1,5.0,5.0,1.5,1.5
230,114,22,PROD022,Greek Salad,Food,1,12.5,12.5,5.8,5.8
231,114,19,PROD019,Ham & Cheese Toastie,Food,1,8.5,8.5,3.8,3.8
232,115,21,PROD021,Caesar Salad,Food,1,14.0,14.0,6.5,6.5
233,115,11,PROD011,Croissant,Pastries,1,4.5,4.5,1.5,1.5
234,116,10,PROD010,Chai Latte,Hot Drinks,1,4.5,4.5,1.2,1.2
235,116,9,PROD009,Hot Chocolate,Hot Drinks,1,4.5,4.5,1.3,1.3
236,117,15,PROD015,Muffin Choc Chip,Pastries,1,5.0,5.0,1.6,1.6
237,118,10,PROD010,Chai Latte,Hot Drinks,1,4.5,4.5,1.2,1.2
238,119,3,PROD003,Latte,Coffee,1,4.5,4.5,1.3,1.3
239,119,20,PROD020,Vegetarian Wrap,Food,1,9.5,9.5,4.2,4.2
240,119,17,PROD017,Avocado Toast,Food,1,12.0,12.0,5.5,5.5
241,120,2,PROD002,Cappuccino,Coffee,1,4.5,4.5,1.25,1.25
242,120,15,PROD015,Muffin Choc Chip,Pastries,1,5.0,5.0,1.6,1.6
243,121,20,PROD020,Vegetarian Wrap,Food,1,9.5,9.5,4.2,4.2
244,122,2,PROD002,Cappuccino,Coffee,1,4.5,4.5,1.25,1.25
245,123,11,PROD011,Croissant,Pastries,1,4.5,4.5,1.5,1.5
246,123,23,PROD023,Chicken Sandwich,Food,1,11.5,11.5,5.2,5.2
247,123,3,PROD003,Latte,Coffee,1,4.5,4.5,1.3,1.3
248,124,15,PROD015,Muffin Choc Chip,Pastries,1,5.0,5.0,1.6,1.6
249,124,17,PROD017,Avocado Toast,Food,1,12.0,12.0,5.5,5.5
250,125,10,PROD010,Chai Latte,Hot Drinks,1,4.5,4.5,1.2,1.2
251,125,13,PROD013,Pain au Chocolat,Pastries,1,5.0,5.0,1.8,1.8
252,126,21,PROD021,Caesar Salad,Food,1,14.0,14.0,6.5,6.5
253,126,11,PROD011,Croissant,Pastries,1,4.5,4.5,1.5,1.5
254,127,10,PROD010,Chai Latte,Hot Drinks,1,4.5,4.5,1.2,1.2
255,127,9,PROD009,Hot Chocolate,Hot Drinks,1,4.5,4.5,1.3,1.3
256,128,5,PROD005,Espresso,Coffee,1,3.5,3.5,0.9,0.9
257,128,11,PROD011,Croissant,Pastries,1,4.5,4.5,1.5,1.5
258,128,3,PROD003,Latte,Coffee,1,4.5,4.5,1.3,1.3
259,129,23,PROD023,Chicken Sandwich,Food,1,11.5,11.5,5.2,5.2
260,129,22,PROD022,Greek Salad,Food,1,12.5,12.5,5.8,5.8
261,129,13,PROD013,Pain au Chocolat,Pastries,1,5.0,5.0,1.8,1.8
262,129,5,PROD005,Espresso,Coffee,1,3.5,3.5,0.9,0.9
263,130,5,PROD005,Espresso,Coffee,1,3.5,3.5,0.9,0.9
264,130,22,PROD022,Greek Salad,Food,1,12.5,12.5,5.8,5.8
265,130,23,PROD023,Chicken Sandwich,Food,1,11.5,11.5,5.2,5.2
266,131,21,PROD021,Caesar Salad,Food,1,14.0,14.0,6.5,6.5
267,131,22,PROD022,Greek Salad,Food,1,12.5,12.5,5.8,5.8
268,132,6,PROD006,Mocha,Coffee,1,5.0,5.0,1.5,1.5
269,132,7,PROD007,Iced Latte,Coffee,1,5.5,5.5,1.6,1.6
270,133,5,PROD005,Espresso,Coffee,1,3.5,3.5,0.9,0.9
271,134,4,PROD004,Long Black,Coffee,1,4.0,4.0,1.1,1.1
272,135,24,PROD024,BLT Sandwich,Food,2,10.5,21.0,4.8,9.6
273,135,17,PROD017,Avocado Toast,Food,1,12.0,12.0,5.5,5.5
274,136,5,PROD005,Espresso,Coffee,1,3.5,3.5,0.9,0.9
275,136,20,PROD020,Vegetarian Wrap,Food,1,9.5,9.5,4.2,4.2
276,136,13,PROD013,Pain au Chocolat,Pastries,1,5.0,5.0,1.8,1.8
277,137,6,PROD006,Mocha,Coffee,1,5.0,5.0,1.5,1.5
278,137,24,PROD024,BLT Sandwich,Food,1,10.5,10.5,4.8,4.8
279,138,8,PROD008,Iced Coffee,Coffee,1,5.0,5.0,1.4,1.4
280,138,15,PROD015,Muffin Choc Chip,Pastries,1,5.0,5.0,1.6,1.6
281,139,8,PROD008,Iced Coffee,Coffee,1,5.0,5.0,1.4,1.4
282,139,18,PROD018,Bacon & Egg Roll,Food,1,10.0,10.0,4.5,4.5
283,139,10,PROD010,Chai Latte,Hot Drinks,1,4.5,4.5,1.2,1.2
284,140,22,PROD022,Greek Salad,Food,1,12.5,12.5,5.8,5.8
285,141,15,PROD015,Muffin Choc Chip,Pastries,1,5.0,5.0,1.6,1.6
286,141,25,PROD025,Orange Juice,Beverages,1,5.0,5.0,1.5,1.5
287,141,10,PROD010,Chai Latte,Hot Drinks,1,4.5,4.5,1.2,1.2
288,141,13,PROD013,Pain au Chocolat,Pastries,1,5.0,5.0,1.8,1.8
289,142,9,PROD009,Hot Chocolate,Hot Drinks,1,4.5,4.5,1.3,1.3
290,142,2,PROD002,Cappuccino,Coffee,1,4.5,4.5,1.25,1.25
291,143,4,PROD004,Long Black,Coffee,1,4.0,4.0,1.1,1.1
292,143,23,PROD023,Chicken Sandwich,Food,1,11.5,11.5,5.2,5.2
293,144,25,PROD025,Orange Juice,Beverages,1,5.0,5.0,1.5,1.5
294,145,17,PROD017,Avocado Toast,Food,1,12.0,12.0,5.5,5.5
295,145,5,PROD005,Espresso,Coffee,1,3.5,3.5,0.9,0.9
296,146,15,PROD015,Muffin Choc Chip,Pastries,1,5.0,5.0,1.6,1.6
297,146,12,PROD012,Almond Croissant,Pastries,1,5.5,5.5,2.0,2.0
298,146,1,PROD001,Flat White,Coffee,1,4.5,4.5,1.2,1.2
299,147,3,PROD003,Latte,Coffee,1,4.5,4.5,1.3,1.3
300,147,12,PROD012,Almond Croissant,Pastries,1,5.5,5.5,2.0,2.0
301,148,23,PROD023,Chicken Sandwich,Food,1,11.5,11.5,5.2,5.2
302,149,5,PROD005,Espresso,Coffee,1,3.5,3.5,0.9,0.9
303,149,2,PROD002,Cappuccino,Coffee,1,4.5,4.5,1.25,1.25
304,149,10,PROD010,Chai Latte,Hot Drinks,1,4.5,4.5,1.2,1.2
305,150,16,PROD016,Banana Bread,Food,2,5.5,11.0,2.0,4.0
306,150,15,PROD015,Muffin Choc Chip,Pastries,1,5.0,5.0,1.6,1.6
307,150,20,PROD020,Vegetarian Wrap,Food,1,9.5,9.5,4.2,4.2
308,151,18,PROD018,Bacon & Egg Roll,Food,1,10.0,10.0,4.5,4.5
309,151,24,PROD024,BLT Sandwich,Food,1,10.5,10.5,4.8,4.8
310,151,20,PROD020,Vegetarian Wrap,Food,1,9.5,9.5,4.2,4.2
311,152,2,PROD002,Cappuccino,Coffee,1,4.5,4.5,1.25,1.25
312,152,8,PROD008,Iced Coffee,Coffee,1,5.0,5.0,1.4,1.4
313,153,4,PROD004,Long Black,Coffee,1,4.0,4.0,1.1,1.1
314,153,16,PROD016,Banana Bread,Food,2,5.5,11.0,2.0,4.0
315,154,8,PROD008,Iced Coffee,Coffee,1,5.0,5.0,1.4,1.4
316,154,23,PROD023,Chicken Sandwich,Food,1,11.5,11.5,5.2,5.2
317,155,8,PROD008,Iced Coffee,Coffee,1,5.0,5.0,1.4,1.4
318,155,19,PROD019,Ham & Cheese Toastie,Food,1,8.5,8.5,3.8,3.8
319,156,12,PROD012,Almond Croissant,Pastries,1,5.5,5.5,2.0,2.0
320,157,17,PROD017,Avocado Toast,Food,2,12.0,24.0,5.5,11.0
321,157,18,PROD018,Bacon & Egg Roll,Food,1,10.0,10.0,4.5,4.5
322,158,13,PROD013,Pain au Chocolat,Pastries,1,5.0,5.0,1.8,1.8
323,159,1,PROD001,Flat White,Coffee,1,4.5,4.5,1.2,1.2
324,160,8,PROD008,Iced Coffee,Coffee,1,5.0,5.0,1.4,1.4
325,161,25,PROD025,Orange Juice,Beverages,1,5.0,5.0,1.5,1.5
326,161,19,PROD019,Ham & Cheese Toastie,Food,1,8.5,8.5,3.8,3.8
327,162,18,PROD018,Bacon & Egg Roll,Food,1,10.0,10.0,4.5,4.5
328,163,25,PROD025,Orange Juice,Beverages,1,5.0,5.0,1.5,1.5
329,163,22,PROD022,Greek Salad,Food,1,12.5,12.5,5.8,5.8
330,164,5,PROD005,Espresso,Coffee,1,3.5,3.5,0.9,0.9
331,164,3,PROD003,Latte,Coffee,1,4.5,4.5,1.3,1.3
332,165,7,PROD007,Iced Latte,Coffee,2,5.5,11.0,1.6,3.2
333,166,2,PROD002,Cappuccino,Coffee,1,4.5,4.5,1.25,1.25
334,167,13,PROD013,Pain au Chocolat,Pastries,1,5.0,5.0,1.8,1.8
335,167,18,PROD018,Bacon & Egg Roll,Food,2,10.0,20.0,4.5,9.0
336,168,10,PROD010,Chai Latte,Hot Drinks,1,4.5,4.5,1.2,1.2
