order_id,receipt_number,order_datetime,order_date,order_time,day_of_week,staff_member,payment_method,order_type,status,total_amount,total_cost,gross_profit
52,R000052,2024-10-03 14:52:00,2024-10-03,14:52:00,Thursday,Tom,Cash,Takeaway,Completed,21.5,8.299999999999999,13.2
53,R000053,2024-10-04 08:47:00,2024-10-04,08:47:00,Friday,Tom,Cash,Takeaway,Completed,14.5,5.6,8.9
54,R000054,2024-10-04 09:24:00,2024-10-04,09:24:00,Friday,Lisa,Card,Dine In,Completed,16.0,6.4,9.6
55,R000055,2024-10-04 10:49:00,2024-10-04,10:49:00,Friday,Emma,Card,Takeaway,Completed,4.5,1.25,3.25
56,R000056,2024-10-04 11:16:00,2024-10-04,11:16:00,Friday,Sarah,Card,Dine In,Completed,9.0,2.5,6.5
57,R000057,2024-10-04 12:21:00,2024-10-04,12:21:00,Friday,Tom,Card,Takeaway,Completed,23.0,10.6,12.4
58,R000058,2024-10-04 13:44:00,2024-10-04,13:44:00,Friday,Mike,Mobile,Takeaway,Completed,14.0,5.7,8.3
59,R000059,2024-10-05 08:02:00,2024-10-05,08:02:00,Saturday,Tom,Cash,Dine In,Completed,28.5,11.4,17.1
60,R000060,2024-10-05 08:28:00,2024-10-05,08:28:00,Saturday,Mike,Card,Dine In,Completed,32.0,13.399999999999999,18.6
61,R000061,2024-10-05 08:44:00,2024-10-05,08:44:00,Saturday,Mike,Card,Takeaway,Completed,40.0,16.1,23.9
62,R000062,2024-10-05 08:46:00,2024-10-05,08:46:00,Saturday,Tom,Mobile,Dine In,Completed,3.5,0.9,2.6
63,R000063,2024-10-05 08:48:00,2024-10-05,08:48:00,Saturday,Lisa,Card,Dine In,Completed,5.0,1.5,3.5
64,R000064,2024-10-05 09:03:00,2024-10-05,09:03:00,Saturday,Mike,Card,Dine In,Completed,9.5,2.9,6.6
65,R000065,2024-10-05 09:45:00,2024-10-05,09:45:00,Saturday,Mike,Card,Dine In,Completed,8.0,2.2,5.8
66,R000066,2024-10-05 09:47:00,2024-10-05,09:47:00,Saturday,Tom,Card,Dine In,Completed,21.0,8.1,12.9
67,R000067,2024-10-05 10:16:00,2024-10-05,10:16:00,Saturday,Mike,Mobile,Dine In,Completed,9.5,2.7,6.8
68,R000068,2024-10-05 10:50:00,2024-10-05,10:50:00,Saturday,Mike,Mobile,Dine In,Completed,14.5,5.9,8.6
69,R000069,2024-10-05 11:25:00,2024-10-05,11:25:00,Saturday,Tom,Cash,Takeaway,Completed,12.5,4.9,7.6
70,R000070,2024-10-05 12:24:00,2024-10-05,12:24:00,Saturday,Tom,Card,Dine In,Completed,23.0,10.6,12.4
71,R000071,2024-10-05 12:25:00,2024-10-05,12:25:00,Saturday,Sarah,Cash,Dine In,Completed,20.0,6.75,13.25
72,R000072,2024-10-05 12:42:00,2024-10-05,12:42:00,Saturday,Lisa,Card,Dine In,Completed,9.5,4.2,5.3
73,R000073,2024-10-05 13:24:00,2024-10-05,13:24:00,Saturday,Lisa,Card,Dine In,Completed,9.5,4.2,5.3
74,R000074,2024-10-06 07:45:00,2024-10-06,07:45:00,Sunday,Mike,Card,Dine In,Completed,9.5,3.3,6.2
75,R000075,2024-10-06 08:01:00,2024-10-06,08:01:00,Sunday,Lisa,Cash,Takeaway,Completed,14.5,5.9,8.6
76,R000076,2024-10-06 08:01:00,2024-10-06,08:01:00,Sunday,Mike,Cash,Takeaway,Completed,29.0,12.5,16.5
77,R000077,2024-10-06 08:58:00,2024-10-06,08:58:00,Sunday,Sarah,Card,Dine In,Completed,4.5,1.5,3.0
78,R000078,2024-10-06 09:10:00,2024-10-06,09:10:00,Sunday,Tom,Cash,Takeaway,Completed,14.5,5.9,8.6
79,R000079,2024-10-06 09:19:00,2024-10-06,09:19:00,Sunday,Tom,Card,Takeaway,Completed,3.5,0.9,2.6
80,R000080,2024-10-06 10:01:00,2024-10-06,10:01:00,Sunday,Tom,Card,Dine In,Completed,9.5,3.0,6.5
81,R000081,2024-10-06 10:17:00,2024-10-06,10:17:00,Sunday,Lisa,Card,Takeaway,Completed,23.0,9.55,13.45
82,R000082,2024-10-06 11:49:00,2024-10-06,11:49:00,Sunday,Sarah,Card,Takeaway,Completed,17.5,7.3,10.2
83,R000083,2024-10-06 12:41:00,2024-10-06,12:41:00,Sunday,Lisa,Card,Dine In,Completed,4.5,1.2,3.3
84,R000084,2024-10-06 13:05:00,2024-10-06,13:05:00,Sunday,Lisa,Card,Dine In,Completed,20.5,9.3,11.2
85,R000085,2024-10-06 14:05:00,2024-10-06,14:05:00,Sunday,Sarah,Card,Takeaway,Completed,4.0,1.1,2.9
86,R000086,2024-10-06 14:07:00,2024-10-06,14:07:00,Sunday,Sarah,Card,Takeaway,Completed,9.0,2.6,6.4
87,R000087,2024-10-06 14:50:00,2024-10-06,14:50:00,Sunday,Sarah,Card,Dine In,Completed,15.0,6.0,9.0
88,R000088,2024-10-06 14:51:00,2024-10-06,14:51:00,Sunday,Sarah,Card,Takeaway,Completed,14.0,5.4,8.6
89,R000089,2024-10-06 15:39:00,2024-10-06,15:39:00,Sunday,Tom,Card,Takeaway,Completed,5.0,1.5,3.5
90,R000090,2024-10-07 07:03:00,2024-10-07,07:03:00,Monday,Emma,Card,Takeaway,Completed,14.5,4.7,9.8
91,R000091,2024-10-07 07:14:00,2024-10-07,07:14:00,Monday,Emma,Card,Takeaway,Completed,10.5,4.8,5.7
92,R000092,2024-10-07 08:37:00,2024-10-07,08:37:00,Monday,Sarah,Card,Takeaway,Completed,10.5,4.8,5.7
93,R000093,2024-10-07 08:48:00,2024-10-07,08:48:00,Monday,Emma,Card,Dine In,Completed,9.5,3.1,6.4
94,R000094,2024-10-07 08:58:00,2024-10-07,08:58:00,Monday,Emma,Card,Dine In,Completed,18.0,8.0,10.0
95,R000095,2024-10-07 09:08:00,2024-10-07,09:08:00,Monday,Sarah,Mobile,Takeaway,Completed,19.0,8.4,10.6
96,R000096,2024-10-07 09:13:00,2024-10-07,09:13:00,Monday,Emma,Card,Takeaway,Completed,5.0,1.6,3.4
97,R000097,2024-10-07 09:13:00,2024-10-07,09:13:00,Monday,Lisa,Card,Dine In,Completed,10.0,3.3,6.7
98,R000098,2024-10-07 09:15:00,2024-10-07,09:15:00,Monday,Mike,Mobile,Dine In,Completed,5.0,1.7,3.3
99,R000099,2024-10-07 09:42:00,2024-10-07,09:42:00,Monday,Mike,Card,Takeaway,Completed,14.0,5.8,8.2
100,R000100,2024-10-07 09:46:00,2024-10-07,09:46:00,Monday,Sarah,Card,Dine In,Completed,9.5,4.2,5.3
101,R000101,2024-10-07 10:38:00,2024-10-07,10:38:00,Monday,Tom,Card,Takeaway,Completed,5.5,1.6,3.9
102,R000102,2024-10-07 10:45:00,2024-10-07,10:45:00,Monday,Sarah,Card,Takeaway,Completed,17.5,5.0,12.5
103,R000103,2024-10-07 11:33:00,2024-10-07,11:33:00,Monday,Tom,Cash,Takeaway,Completed,16.5,6.6,9.9
104,R000104,2024-10-07 12:53:00,2024-10-07,12:53:00,Monday,Mike,Card,Dine In,Completed,29.5,11.0,18.5
105,R000105,2024-10-07 14:30:00,2024-10-07,14:30:00,Monday,Sarah,Card,Dine In,Completed,18.5,7.3,11.2
106,R000106,2024-10-07 14:44:00,2024-10-07,14:44:00,Monday,Lisa,Card,Dine In,Completed,4.5,1.5,3.0
107,R000107,2024-10-07 14:50:00,2024-10-07,14:50:00,Monday,Emma,Cash,Dine In,Completed,22.0,8.8,13.2
108,R000108,2024-10-08 08:01:00,2024-10-08,08:01:00,Tuesday,Tom,Card,Dine In,Completed,16.5,6.8,9.7
109,R000109,2024-10-08 09:21:00,2024-10-08,09:21:00,Tuesday,Emma,Card,Dine In,Completed,9.5,3.0,6.5
110,R000110,2024-10-08 09:50:00,2024-10-08,09:50:00,Tuesday,Emma,Card,Dine In,Completed,12.0,5.5,6.5
111,R000111,2024-10-08 10:28:00,2024-10-08,10:28:00,Tuesday,Sarah,Cash,Dine In,Completed,30.0,13.3,16.7
112,R000112,2024-10-08 10:42:00,2024-10-08,10:42:00,Tuesday,Emma,Card,Dine In,Completed,9.5,4.2,5.3
113,R000113,2024-10-08 11:12:00,2024-10-08,11:12:00,Tuesday,Lisa,Card,Dine In,Completed,14.5,4.3,10.2
114,R000114,2024-10-08 11:51:00,2024-10-08,11:51:00,Tuesday,Emma,Card,Dine In,Completed,21.0,9.6,11.4
115,R000115,2024-10-08 11:58:00,2024-10-08,11:58:00,Tuesday,Sarah,Card,Takeaway,Completed,18.5,8.0,10.5
116,R000116,2024-10-08 12:17:00,2024-10-08,12:17:00,Tuesday,Lisa,Card,Takeaway,Completed,9.0,2.5,6.5
117,R000117,2024-10-08 12:44:00,2024-10-08,12:44:00,Tuesday,Mike,Card,Dine In,Completed,5.0,1.6,3.4
118,R000118,2024-10-09 07:54:00,2024-10-09,07:54:00,Wednesday,Emma,Card,Takeaway,Completed,4.5,1.2,3.3
119,R000119,2024-10-09 08:03:00,2024-10-09,08:03:00,Wednesday,Sarah,Card,Dine In,Completed,26.0,11.0,15.0
120,R000120,2024-10-09 08:13:00,2024-10-09,08:13:00,Wednesday,Mike,Mobile,Takeaway,Completed,9.5,2.85,6.65
121,R000121,2024-10-09 08:24:00,2024-10-09,08:24:00,Wednesday,Mike,Cash,Dine In,Completed,9.5,4.2,5.3
122,R000122,2024-10-09 09:04:00,2024-10-09,09:04:00,Wednesday,Tom,Card,Takeaway,Completed,4.5,1.25,3.25
123,R000123,2024-10-09 10:07:00,2024-10-09,10:07:00,Wednesday,Lisa,Mobile,Takeaway,Completed,20.5,8.0,12.5
124,R000124,2024-10-09 11:42:00,2024-10-09,11:42:00,Wednesday,Emma,Card,Takeaway,Completed,17.0,7.1,9.9
125,R000125,2024-10-09 11:51:00,2024-10-09,11:51:00,Wednesday,Sarah,Card,Takeaway,Completed,9.5,3.0,6.5
126,R000126,2024-10-09 13:26:00,2024-10-09,13:26:00,Wednesday,Tom,Card,Dine In,Completed,18.5,8.0,10.5
127,R000127,2024-10-09 14:05:00,2024-10-09,14:05:00,Wednesday,Lisa,Card,Dine In,Completed,9.0,2.5,6.5
128,R000128,2024-10-09 14:13:00,2024-10-09,14:13:00,Wednesday,Tom,Card,Takeaway,Completed,12.5,3.7,8.8
129,R000129,2024-10-10 09:08:00,2024-10-10,09:08:00,Thursday,Lisa,Card,Dine In,Completed,32.5,13.7,18.8
130,R000130,2024-10-10 09:17:00,2024-10-10,09:17:00,Thursday,Lisa,Card,Takeaway,Completed,27.5,11.9,15.6
131,R000131,2024-10-10 09:24:00,2024-10-10,09:24:00,Thursday,Emma,Card,Dine In,Completed,26.5,12.3,14.2
132,R000132,2024-10-10 10:29:00,2024-10-10,10:29:00,Thursday,Lisa,Mobile,Dine In,Completed,10.5,3.1,7.4
133,R000133,2024-10-10 10:42:00,2024-10-10,10:42:00,Thursday,Tom,Cash,Dine In,Completed,3.5,0.9,2.6
134,R000134,2024-10-10 11:09:00,2024-10-10,11:09:00,Thursday,Lisa,Card,Dine In,Completed,4.0,1.1,2.9
135,R000135,2024-10-10 12:20:00,2024-10-10,12:20:00,Thursday,Emma,Mobile,Takeaway,Completed,33.0,15.1,17.9
136,R000136,2024-10-10 13:21:00,2024-10-10,13:21:00,Thursday,Emma,Mobile,Dine In,Completed,18.0,6.9,11.1
137,R000137,2024-10-10 14:50:00,2024-10-10,14:50:00,Thursday,Tom,Mobile,Dine In,Completed,15.5,6.3,9.2
138,R000138,2024-10-10 14:53:00,2024-10-10,14:53:00,Thursday,Mike,Card,Dine In,Completed,10.0,3.0,7.0
139,R000139,2024-10-10 14:56:00,2024-10-10,14:56:00,Thursday,Mike,Cash,Dine In,Completed,19.5,7.1000000000000005,12.4
140,R000140,2024-10-11 08:18:00,2024-10-11,08:18:00,Friday,Lisa,Card,Takeaway,Completed,12.5,5.8,6.7
141,R000141,2024-10-11 09:40:00,2024-10-11,09:40:00,Friday,Sarah,Cash,Dine In,Completed,19.5,6.1,13.4
142,R000142,2024-10-11 09:45:00,2024-10-11,09:45:00,Friday,Lisa,Mobile,Dine In,Completed,9.0,2.55,6.45
143,R000143,2024-10-11 09:53:00,2024-10-11,09:53:00,Friday,Tom,Card,Dine In,Completed,15.5,6.300000000000001,9.2
144,R000144,2024-10-11 11:29:00,2024-10-11,11:29:00,Friday,Tom,Cash,Takeaway,Completed,5.0,1.5,3.5
145,R000145,2024-10-11 12:19:00,2024-10-11,12:19:00,Friday,Tom,Cash,Dine In,Completed,15.5,6.4,9.1
146,R000146,2024-10-11 12:53:00,2024-10-11,12:53:00,Friday,Tom,Cash,Takeaway,Completed,15.0,4.8,10.2
147,R000147,2024-10-12 07:59:00,2024-10-12,07:59:00,Saturday,Tom,Card,Takeaway,Completed,10.0,3.3,6.7
148,R000148,2024-10-12 08:00:00,2024-10-12,08:00:00,Saturday,Emma,Card,Dine In,Completed,11.5,5.2,6.3
149,R000149,2024-10-12 08:19:00,2024-10-12,08:19:00,Saturday,Mike,Card,Dine In,Completed,12.5,3.3499999999999996,9.15
150,R000150,2024-10-12 08:33:00,2024-10-12,08:33:00,Saturday,Tom,Cash,Dine In,Completed,25.5,9.8,15.7
151,R000151,2024-10-12 09:05:00,2024-10-12,09:05:00,Saturday,Sarah,Card,Dine In,Completed,30.0,13.5,16.5
152,R000152,2024-10-12 09:39:00,2024-10-12,09:39:00,Saturday,Sarah,Card,Takeaway,Completed,9.5,2.65,6.85
153,R000153,2024-10-12 09:44:00,2024-10-12,09:44:00,Saturday,Sarah,Card,Takeaway,Completed,15.0,5.1,9.9
154,R000154,2024-10-12 10:13:00,2024-10-12,10:13:00,Saturday,Sarah,Card,Dine In,Completed,16.5,6.6,9.9
155,R000155,2024-10-12 10:24:00,2024-10-12,10:24:00,Saturday,Emma,Cash,Dine In,Completed,13.5,5.199999999999999,8.3
156,R000156,2024-10-12 10:38:00,2024-10-12,10:38:00,Saturday,Sarah,Cash,Dine In,Completed,5.5,2.0,3.5
157,R000157,2024-10-12 10:47:00,2024-10-12,10:47:00,Saturday,Tom,Card,Takeaway,Completed,34.0,15.5,18.5
158,R000158,2024-10-12 10:48:00,2024-10-12,10:48:00,Saturday,Lisa,Mobile,Dine In,Completed,5.0,1.8,3.2
159,R000159,2024-10-12 11:07:00,2024-10-12,11:07:00,Saturday,Sarah,Card,Dine In,Completed,4.5,1.2,3.3
160,R000160,2024-10-12 11:24:00,2024-10-12,11:24:00,Saturday,Emma,Card,Takeaway,Completed,5.0,1.4,3.6
161,R000161,2024-10-12 11:24:00,2024-10-12,11:24:00,Saturday,Emma,Cash,Takeaway,Completed,13.5,5.3,8.2
162,R000162,2024-10-12 11:32:00,2024-10-12,11:32:00,Saturday,Sarah,Card,Dine In,Completed,10.0,4.5,5.5
163,R000163,2024-10-12 12:38:00,2024-10-12,12:38:00,Saturday,Lisa,Card,Takeaway,Completed,17.5,7.3,10.2
164,R000164,2024-10-12 13:02:00,2024-10-12,13:02:00,Saturday,Sarah,Cash,Takeaway,Completed,8.0,2.2,5.8
165,R000165,2024-10-12 13:06:00,2024-10-12,13:06:00,Saturday,Emma,Card,Dine In,Completed,11.0,3.2,7.8
166,R000166,2024-10-12 13:37:00,2024-10-12,13:37:00,Saturday,Mike,Card,Dine In,Completed,4.5,1.25,3.25
167,R000167,2024-10-12 14:25:00,2024-10-12,14:25:00,Saturday,Tom,Card,Dine In,Completed,25.0,10.8,14.2
168,R000168,2024-10-12 14:36:00,2024-10-12,14:36:00,Saturday,Emma,Card,Dine In,Completed,15.5,5.2,10.3
169,R000169,2024-10-12 15:40:00,2024-10-12,15:40:00,Saturday,Sarah,Card,Takeaway,Completed,8.5,2.4000000000000004,6.1
170,R000170,2024-10-12 15:59:00,2024-10-12,15:59:00,Saturday,Tom,Card,Takeaway,Completed,10.0,3.4000000000000004,6.6
171,R000171,2024-10-13 08:29:00,2024-10-13,08:29:00,Sunday,Sarah,Cash,Dine In,Completed,17.5,7.5,10.0
172,R000172,2024-10-13 08:44:00,2024-10-13,08:44:00,Sunday,Sarah,Cash,Dine In,Completed,14.5,5.9,8.6
173,R000173,2024-10-13 09:29:00,2024-10-13,09:29:00,Sunday,Mike,Cash,Dine In,Completed,4.0,1.1,2.9
174,R000174,2024-10-13 09:37:00,2024-10-13,09:37:00,Sunday,Tom,Cash,Dine In,Completed,9.5,2.8,6.7
175,R000175,2024-10-13 09:44:00,2024-10-13,09:44:00,Sunday,Tom,Card,Takeaway,Completed,16.0,5.6,10.4
176,R000176,2024-10-13 09:48:00,2024-10-13,09:48:00,Sunday,Mike,Card,Dine In,Completed,9.5,3.0,6.5
177,R000177,2024-10-13 09:52:00,2024-10-13,09:52:00,Sunday,Emma,Card,Dine In,Completed,12.5,5.8,6.7
178,R000178,2024-10-13 09:59:00,2024-10-13,09:59:00,Sunday,Sarah,Card,Dine In,Completed,35.5,16.4,19.1
179,R000179,2024-10-13 09:59:00,2024-10-13,09:59:00,Sunday,Lisa,Card,Takeaway,Completed,22.0,8.65,13.35
180,R000180,2024-10-13 10:43:00,2024-10-13,10:43:00,Sunday,Sarah,Card,Dine In,Completed,13.0,5.05,7.95
181,R000181,2024-10-13 11:36:00,2024-10-13,11:36:00,Sunday,Sarah,Card,Takeaway,Completed,15.5,5.1,10.4
182,R000182,2024-10-13 11:46:00,2024-10-13,11:46:00,Sunday,Emma,Cash,Dine In,Completed,14.5,4.1,10.4
183,R000183,2024-10-13 11:51:00,2024-10-13,11:51:00,Sunday,Sarah,Mobile,Takeaway,Completed,12.0,5.5,6.5
184,R000184,2024-10-13 13:45:00,2024-10-13,13:45:00,Sunday,Mike,Card,Takeaway,Completed,9.5,2.8,6.7
185,R000185,2024-10-13 14:39:00,2024-10-13,14:39:00,Sunday,Mike,Card,Dine In,Completed,27.0,10.0,17.0
186,R000186,2024-10-14 07:34:00,2024-10-14,07:34:00,Monday,Tom,Card,Dine In,Completed,17.0,7.1,9.9
187,R000187,2024-10-14 08:40:00,2024-10-14,08:40:00,Monday,Lisa,Mobile,Takeaway,Completed,16.0,6.5,9.5
188,R000188,2024-10-14 09:08:00,2024-10-14,09:08:00,Monday,Sarah,Mobile,Takeaway,Completed,5.0,1.5,3.5
189,R000189,2024-10-14 09:09:00,2024-10-14,09:09:00,Monday,Sarah,Card,Dine In,Completed,24.5,10.0,14.5
190,R000190,2024-10-14 09:14:00,2024-10-14,09:14:00,Monday,Emma,Card,Dine In,Completed,11.0,4.0,7.0
191,R000191,2024-10-14 09:37:00,2024-10-14,09:37:00,Monday,Mike,Card,Takeaway,Completed,10.5,3.6,6.9
192,R000192,2024-10-14 09:58:00,2024-10-14,09:58:00,Monday,Lisa,Card,Dine In,Completed,9.0,2.5,6.5
193,R000193,2024-10-14 10:28:00,2024-10-14,10:28:00,Monday,Tom,Card,Dine In,Completed,10.0,3.2,6.8
194,R000194,2024-10-14 11:36:00,2024-10-14,11:36:00,Monday,Mike,Card,Takeaway,Completed,4.5,1.5,3.0
195,R000195,2024-10-14 13:12:00,2024-10-14,13:12:00,Monday,Tom,Mobile,Dine In,Completed,24.5,11.3,13.2
196,R000196,2024-10-14 14:10:00,2024-10-14,14:10:00,Monday,Emma,Card,Dine In,Completed,27.5,11.8,15.7
197,R000197,2024-10-15 08:11:00,2024-10-15,08:11:00,Tuesday,Emma,Card,Dine In,Completed,19.5,7.5,12.0
198,R000198,2024-10-15 09:35:00,2024-10-15,09:35:00,Tuesday,Sarah,Cash,Dine In,Completed,12.0,5.5,6.5
199,R000199,2024-10-15 09:42:00,2024-10-15,09:42:00,Tuesday,Lisa,Mobile,Dine In,Completed,24.0,9.4,14.6
200,R000200,2024-10-15 09:53:00,2024-10-15,09:53:00,Tuesday,Tom,Mobile,Takeaway,Completed,16.5,6.8,9.7
201,R000201,2024-10-15 09:59:00,2024-10-15,09:59:00,Tuesday,Mike,Card,Dine In,Completed,17.5,7.3,10.2
202,R000202,2024-10-15 10:15:00,2024-10-15,10:15:00,Tuesday,Emma,Card,Dine In,Completed,17.5,6.3,11.2
203,R000203,2024-10-15 10:15:00,2024-10-15,10:15:00,Tuesday,Sarah,Card,Dine In,Completed,14.0,6.5,7.5
204,R000204,2024-10-15 10:28:00,2024-10-15,10:28:00,Tuesday,Sarah,Card,Dine In,Completed,5.5,1.6,3.9
205,R000205,2024-10-15 10:35:00,2024-10-15,10:35:00,Tuesday,Tom,Card,Takeaway,Completed,18.5,7.7,10.8
206,R000206,2024-10-15 10:48:00,2024-10-15,10:48:00,Tuesday,Emma,Card,Dine In,Completed,4.5,1.2,3.3
207,R000207,2024-10-15 10:58:00,2024-10-15,10:58:00,Tuesday,Lisa,Card,Dine In,Completed,22.0,8.8,13.2
208,R000208,2024-10-15 12:32:00,2024-10-15,12:32:00,Tuesday,Emma,Card,Takeaway,Completed,10.5,3.2,7.3
